Stock,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024,12-2024
ABB,,,,,,,,,,BUY,,BUY,BUY,BUY,,,,,,BUY,BUY,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,nan,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,,,,,,,,,,,,,,,,BUY,BUY,,,BUY,,,,,,,BUY,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,BUY,BUY,,,,,,,,,,,,,
ADANIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,,nan,,,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,
ADANIPORTS,,,,,,,,,,BUY,BUY,,,BUY,,,,,,BUY,BUY,,BUY,,,BUY,BUY,,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,,BUY,,,nan,,,,BUY,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,
ATGL,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,BUY,,,,,,,,,
AWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,
AMBUJACEM,,,,,,,,,,BUY,,,BUY,BUY,,,,,BUY,BUY,,BUY,,BUY,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,nan,,,,,,BUY,BUY,BUY,,,,,,BUY,,,,,,,,,,,,,
APOLLOHOSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,,,,,,,,,,,,,,,,,BUY,,BUY,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,nan,BUY,,,BUY,BUY,BUY,,,,,,,BUY,,,BUY,,BUY,,,,,,,,,
DMART,,,,,,,,,,,BUY,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,,nan,,,,BUY,BUY,,BUY,BUY,,,BUY,,,,,,,,,,,,,,,,
AXISBANK,,,,,,,,,,,,,,,,,,,,BUY,,BUY,,,,,BUY,BUY,BUY,,BUY,,BUY,,,,,,,,,,,,,,BUY,BUY,,,,,BUY,BUY,BUY,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,,,,,,,,,,,BUY,,,,,,,,BUY,,,,,,,,,BUY,,BUY,,,,,,,,,,,,,,,,,BUY,BUY,,,BUY,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,,nan,,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,,,,,,,,,,,,,BUY,BUY,,,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEPAINT,,,,,,,,,,,,,,BUY,,,BUY,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,BUY,,BUY,,,BUY,BUY,BUY,,BUY,BUY,,BUY,BUY,BUY,,,,,,,,,,,,,BUY,,,,,,,,,
BEL,,,,,,,,,,,BUY,,BUY,BUY,,BUY,,,,,,,,BUY,,BUY,BUY,BUY,BUY,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,
BPCL,,,,,,,,,,,,,BUY,BUY,,,,,BUY,BUY,,,,,,,BUY,BUY,BUY,,BUY,,BUY,BUY,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,BUY,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,
BHARTIARTL,,,,,,,,,,BUY,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,BUY,BUY,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,,,,,,,,,,BUY,,,,,,BUY,BUY,BUY,BUY,BUY,,,,,,,BUY,,,,,,,,,,,BUY,,BUY,,,BUY,,,,,BUY,,BUY,BUY,,,BUY,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,,,,,,,,,,,,,,BUY,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,,BUY,BUY,,,,,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,nan,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,
CIPLA,,,,,,,,,,,BUY,BUY,BUY,,BUY,,,,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,
COALINDIA,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,BUY,BUY,BUY,BUY,,,,BUY,,,,BUY,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,,,,,,,,,,BUY,,,,,,,BUY,BUY,BUY,,,,,,,BUY,BUY,,,,,,,,,,,,,BUY,,,,,,BUY,BUY,BUY,BUY,BUY,,,,BUY,,,nan,,,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,
DLF,,,,,,,,,,,,BUY,,,,,BUY,,BUY,BUY,BUY,BUY,,,,,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,BUY,,BUY,BUY,,,nan,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,
DABUR,,,,,,,,,,,BUY,,,,,BUY,BUY,,,,,,,,,,BUY,,BUY,BUY,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,,BUY,BUY,,,nan,,,,BUY,BUY,,BUY,BUY,,,,,BUY,BUY,,,BUY,BUY,,,,,,,,,
DIVISLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,BUY,nan,,BUY,BUY,,BUY,BUY,,BUY,,,,,BUY,BUY,,,BUY,BUY,,,,,,,,,
DRREDDY,,,,,,,,,,,,,,,,,,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,,,BUY,BUY,BUY,,,,nan,,,,,,BUY,,,,BUY,,,,,,,,,,,,,,,,,
GAIL,,,,,,,,,,,BUY,,BUY,BUY,,,,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,BUY,BUY,,,,,,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,,,,,,,,,,,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,BUY,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,,,nan,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,,,,,,,,,,BUY,,BUY,BUY,BUY,,BUY,,,,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,BUY,,BUY,BUY,,,nan,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,
HCLTECH,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,,,,,,,,,,BUY,BUY,,,,,,,,,,,,,,,,BUY,,BUY,,,BUY,,,,,,,,,,,,,,,,BUY,,,,BUY,BUY,,BUY,,BUY,,,,,,,,,,,,,BUY,,,BUY,BUY,,,,,,,,,,
HDFCLIFE,,,,,,,,,,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,BUY,,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,BUY,BUY,BUY,,BUY,,,BUY,BUY,BUY,,,,,,,,,BUY,BUY,,,,,,,,,,
HAVELLS,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,,BUY,,,BUY,,,nan,,BUY,BUY,BUY,BUY,BUY,,,,,,,,BUY,,,,,,,,,,,,,
HEROMOTOCO,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,BUY,,BUY,BUY,BUY,,BUY,BUY,BUY,,,BUY,BUY,,,,,nan,BUY,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,
HINDALCO,,,,,,,,,,,,,BUY,BUY,BUY,,BUY,BUY,BUY,,,BUY,BUY,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,,nan,BUY,,,,BUY,,,BUY,,,,,,,,,,,,,,,,,,,
HAL,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,BUY,BUY,BUY,,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,,,,,,,,,,BUY,,,,,,BUY,,,,,,,,,,,,,,,,,BUY,,,,,BUY,,,,,,,,,BUY,BUY,BUY,BUY,BUY,,,,,,nan,,,,,BUY,BUY,,,,,BUY,BUY,,,,,BUY,BUY,,,,,,,,,
ICICIBANK,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,BUY,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,
ICICIPRULI,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,BUY,,,,,,,,,,,,BUY,,,,,,,,,BUY,BUY,BUY,,,BUY,BUY,,,nan,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,,,,,,,BUY,,,,,,,,,,,,
